name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Buka Semangat Baru,"Kamu, Aku, Cinta",Lala Karmela,6lZKJkfn0eVCXvbh1jsO8a,2011-02-21,47,232746,0.583,0.394,0.71,6.12e-06,0.162,0.553,-5.428,0.0605,89.777,0,4
Heavy Rotation,Heavy Rotation,JKT48,7EdzxaYQzbOqOlmwzjDFwX,2013,36,282613,0.397,0.002,0.907,0.0,0.281,0.33,-1.101,0.045,178.039,1,4
Senyum Semangat,Senyum Semangat,SMASH,58eJBGE97mSjXztTc0cHmk,2011-06-26,41,189783,0.64,0.0994,0.861,0.0,0.197,0.85,-5.345,0.116,125.109,1,4
Goyang Duyu,Top Of The Pop,Project Pop,3NXtnSBSZPPu7djESFaR74,2008-01-01,41,179773,0.627,0.213,0.819,0.0,0.23,0.901,-7.056,0.0739,79.988,4,4
Resah Tanpamu,Lebih Baik Sendiri,Titi Kamal,4UNUyeGaZVszl2oQEqzn6u,2009-07-01,47,273413,0.781,0.18,0.577,4.19e-06,0.18,0.909,-6.136,0.0858,104.034,9,4
Pilih Saja Aku,Mine,Petra Sihombing,3e7Xsl6DPWEgAgBF1ErMl8,2014-06-30,55,204226,0.798,0.578,0.522,6.21e-05,0.132,0.964,-6.796,0.0345,120.006,11,4
Could It Be,Raisa,Raisa,6Khn20yWc0YGJy1wbkz3Be,2011-05-02,54,221400,0.673,0.6,0.537,0.0,0.349,0.632,-8.088,0.0954,100.03,4,4
Tiba-Tiba Cinta Datang,Panggil Aku…,Maudy Ayunda,3oJZHURvtmLvYa0eSI2rtY,2011-08-11,56,242146,0.743,0.646,0.678,5.64e-06,0.23,0.883,-4.731,0.0461,94.975,1,4
Gara Gara Kahitna,Move On,Project Pop,0R1E3diP30q5JYLtoIyxeI,2013-09-05,43,207493,0.656,0.0299,0.899,0.0,0.147,0.73,-4.545,0.0275,94.98,0,4
Menghujam Jantungku,My Happy Life,Tompi,6VmfI8TnfhrFHqImmvubvZ,2008-01-28,57,213213,0.677,0.345,0.918,0.0,0.174,0.839,-3.989,0.0746,105.014,0,4
Pernah Muda,Tentang Kamu,Bunga Citra Lestari,53jVt2BD1Wgh1aUoqAodQT,2008,49,203640,0.711,0.324,0.247,7.88e-05,0.137,0.491,-12.662,0.0284,104.983,9,4
Slow,Slow,Young Lex,0zEMaXrSppIWuv3FD6pOwu,2016-10-27,35,211835,0.701,0.109,0.664,0.0,0.0628,0.575,-6.259,0.0738,100.0,6,4
Mari Bercinta,Malaikat Penggoda,Aura Kasih,1sSJYg2nPcThHkpgVHNHlD,2008-03-26,58,179800,0.608,0.135,0.874,0.0,0.0979,0.887,-5.728,0.125,175.053,5,4
Manusia Biasa (CLB),Winning 11,Yovie & Nuno,2gTg860d3Ju5ZbmkVVjukZ,2010-08-16,55,227480,0.591,0.521,0.664,0.0,0.113,0.67,-4.396,0.0259,110.026,0,4
Kulakukan Semua Untukmu,HOP3,RAN,7D4owue92VTPPMG0nNc4b5,2011-01-01,58,236746,0.74,0.437,0.725,2.41e-05,0.37,0.579,-5.85,0.0333,107.986,1,4
Pandangan Pertama,RAN For Your Life,RAN,7vARkAvliy40kkanvCQvSR,2008-01-01,64,300693,0.663,0.039,0.769,1.1e-06,0.125,0.68,-5.028,0.0284,102.968,0,4
Panah Asmara,DEKADE,Afgan,2n5MdJ8bdz4QYOTdeZaBd5,2018-02-21,60,274539,0.749,0.0646,0.764,0.000158,0.0364,0.96,-5.991,0.0474,122.982,8,4
Dilema,Cherrybelle Compilation Album,Cherrybelle,3cqBNjjGjtKer3jWHCPIUC,2016-08-05,49,242086,0.734,0.0591,0.72,3.05e-05,0.0874,0.626,-6.389,0.0329,114.981,7,4
Mata Ke Hati,Say Hi To Hivi!,Hivi!,1Ml2eaYgtXPdklPnZeVqqv,2012-04-18,51,239453,0.603,0.217,0.718,0.0,0.237,0.755,-4.396,0.0368,129.869,9,4
Anak Sekolah,Best '90 Chrisye Vol. 1,Chrisye,5jo3UYwTZiYGGpVKXzptHK,1990-03-03,37,240040,0.599,0.0864,0.862,1.03e-06,0.329,0.874,-6.714,0.0506,168.599,6,4
