name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Head In The Clouds,Head In The Clouds,88rising,3kYARoLSAvt86VFZ55BQcq,2018-07-20,60,178022,0.516,0.281,0.456,1.27e-05,0.0847,0.238,-9.242,0.0397,145.843,9,4
Prelude - Live,Kita Sama-Sama Suka Hujan (Live Konser 2015),Various Artists,1cBmUmmh1YAxRwgNEyFxAj,2017-09-29,9,340035,0.166,0.959,0.302,0.945,0.491,0.0358,-10.776,0.0332,136.512,4,4
Is It The Answer,Is It The Answer,Reality Club,5dFLCZFECZMRYICtN31BMg,2017-03-04,51,232594,0.722,0.454,0.708,9.97e-05,0.148,0.462,-7.029,0.0286,117.501,0,4
Tafsir Mistik,Tafsir Mistik,The Panturas,0aPepMh9otBMbV4xKmiRtq,2021-03-05,44,249343,0.488,0.123,0.92,0.000524,0.899,0.469,-6.289,0.0779,115.209,2,4
Dynamite,BE,BTS,4saklk6nie3yiGePpBwUoc,2020-11-20,5,199053,0.746,0.0112,0.765,0.0,0.0936,0.737,-4.41,0.0993,114.044,6,4
LOVE SCENARIO,Return,iKON,3d3ELsqKlQ7WA0a10Isu3l,2018-01-25,70,209648,0.806,0.331,0.707,0.0,0.294,0.746,-4.623,0.0307,118.009,7,4
Girls Like You,Red Pill Blues (Deluxe),Maroon 5,6BoCisOAzZMNr0GPrKLB0M,2017-11-03,0,215229,0.837,0.536,0.467,0.0,0.128,0.424,-7.062,0.0439,125.004,0,4
Colour,Colour,MNEK,7haQE5nOcxwk0HXahP0aV3,2018-06-01,53,201420,0.683,0.408,0.782,0.0,0.236,0.673,-2.989,0.0497,100.954,0,4
Higher Love,Higher Love,Kygo,6oJ6le65B3SEqPwMRNXWjY,2019-06-28,74,228267,0.693,0.0151,0.678,5.71e-06,0.101,0.404,-7.159,0.0324,103.952,8,4
Lie To Me (feat. Julia Michaels),Lie To Me (feat. Julia Michaels),5 Seconds of Summer,6GzApXoBQiiAjak3tOQfV3,2018-12-21,67,149877,0.611,0.0132,0.52,0.0,0.105,0.771,-5.445,0.0346,159.927,0,4
